# U/t eqp0 eqp1 eqp2 eqp3 eqp4 eqp5
6.200000000000000178e+00 -9.861549519115860862e-01 -3.993772453249344045e-01 -1.970365601543308878e-02 1.970365691159981641e-02 3.993772453249453958e-01 9.861549489046561590e-01
6.299999999999999822e+00 -9.861549519116235007e-01 -3.798466946562455426e-01 -1.970365601540500361e-02 1.970365691160835819e-02 3.798466946562518154e-01 9.861549489045223771e-01
6.400000000000000355e+00 -9.861549519116321605e-01 -3.600030404795979688e-01 -1.970365601539632305e-02 1.970365691161374971e-02 3.600030404796037420e-01 9.861549489046180783e-01
6.500000000000000000e+00 -9.861549519118577578e-01 -3.398470903685086308e-01 -1.970365601539599693e-02 1.970365691161554689e-02 3.398470903685187894e-01 9.861549489045484673e-01
6.599999999999999645e+00 -9.861549519116843410e-01 -3.193789042109086429e-01 -1.970365601539381811e-02 1.970365691162708627e-02 3.193789042109202447e-01 9.861549489046059769e-01
6.700000000000000178e+00 -9.861549519115485607e-01 -2.985986034832945890e-01 -1.970365601538563716e-02 1.970365691161381910e-02 2.985986034833077452e-01 9.861549489045986494e-01
6.799999999999999822e+00 -9.861549519115820894e-01 -2.775064153627126440e-01 -1.970365601538478714e-02 1.970365691161761815e-02 2.775064153627282426e-01 9.861549489045469130e-01
6.900000000000000355e+00 -9.861549519117642770e-01 -2.561012615399805847e-01 -1.970365601537695660e-02 1.970365691160606489e-02 2.561012615399934078e-01 9.861549489045051686e-01
7.000000000000000000e+00 -9.861549519116870055e-01 -2.343846632647114125e-01 -1.970365601537580474e-02 1.970365691160464935e-02 2.343846632647223205e-01 9.861549489044429961e-01
7.099999999999999645e+00 -9.861549519117900342e-01 -2.123555140086509641e-01 -1.970365601535566114e-02 1.970365691160418792e-02 2.123555140086604009e-01 9.861549489043736072e-01
7.200000000000000178e+00 -9.861549519116826756e-01 -1.900162426921910286e-01 -1.970365601536113592e-02 1.970365691159544144e-02 1.900162426921997438e-01 9.861549489043679451e-01
7.299999999999999822e+00 -9.861549519115510032e-01 -1.673639224367182710e-01 -1.970365601535489092e-02 1.970365691159326263e-02 1.673639224367289013e-01 9.861549489044274530e-01
7.400000000000000355e+00 -9.861549519116259432e-01 -1.444052587869565363e-01 -1.970365601535981753e-02 1.970365691159955274e-02 1.444052587869683324e-01 9.861549489044116878e-01
7.500000000000000000e+00 -9.861549519116276086e-01 -1.211364714877774529e-01 -1.970365601535267394e-02 1.970365691159699228e-02 1.211364714877885829e-01 9.861549489044003636e-01
7.599999999999999645e+00 -9.861549519116912244e-01 -9.756990425091632835e-02 -1.970365601535654237e-02 1.970365691159468857e-02 9.756990425092663954e-02 9.861549489044252326e-01
7.700000000000000178e+00 -9.861549519117580598e-01 -7.371857428700651083e-02 -1.970365601535313538e-02 1.970365691159863333e-02 7.371857428701278359e-02 9.861549489043834882e-01
7.799999999999999822e+00 -9.861549519117399631e-01 -4.965811719232434557e-02 -1.970365601535008226e-02 1.970365691160101337e-02 4.965811719233005628e-02 9.861549489043814898e-01
7.900000000000000355e+00 -9.861549519117029927e-01 -2.591163892330115501e-02 -1.970365601535284394e-02 1.970365691160087113e-02 2.591163892330648755e-02 9.861549489043823780e-01
8.000000000000000000e+00 -9.861549519117016604e-01 -1.970365601535284394e-02 -7.955913874983861628e-03 7.955913874989324272e-03 1.970365691160139848e-02 9.861549489043732741e-01
8.099999999999999645e+00 -9.861549519117061013e-01 -1.970365601535251088e-02 -1.834481650460834069e-03 1.834481650466383016e-03 1.970365691160137073e-02 9.861549489043770489e-01
8.199999999999999289e+00 -9.861549519117057683e-01 -1.970365601535269129e-02 -5.766883064716579526e-04 5.766883064771308968e-04 1.970365691160150604e-02 9.861549489043772709e-01
8.300000000000000711e+00 -9.861549519117056573e-01 -1.970365601535253516e-02 -2.500545923118427361e-04 2.500545923174009528e-04 1.970365691160160318e-02 9.861549489043766048e-01
8.400000000000000355e+00 -9.861549519117057683e-01 -1.970365601535271211e-02 -8.835999855830474069e-05 8.835999856378363439e-05 1.970365691160150604e-02 9.861549489043770489e-01
8.500000000000000000e+00 -9.861549519117063234e-01 -1.970365601535246231e-02 -5.438883901742562607e-05 5.438883902303759204e-05 1.970365691160160318e-02 9.861549489043771599e-01
